"municipality_code","year","total_cases","total_population","incidence_per_100k"
150442,2020,2,109411,1.828
150442,2022,1,109411,0.914
150445,2017,1,27770,3.601
150460,2021,1,27068,3.694
150460,2024,1,27068,3.694
150470,2011,1,70413,1.42
150470,2015,1,70413,1.42
150470,2023,1,70413,1.42
150480,2014,2,56788,3.522
150480,2017,3,56788,5.283
150490,2019,1,34330,2.913
150520,2017,2,28932,6.913
150520,2021,2,28932,6.913
150530,2017,2,63475,3.151
150550,2017,1,99386,1.006
150550,2019,1,99386,1.006
150553,2019,6,150376,3.99
150553,2020,1,150376,0.665
150553,2021,3,150376,1.995
150553,2022,2,150376,1.33
150590,2024,1,34220,2.922
150635,2018,8,17143,46.666
150650,2021,1,59930,1.669
150655,2024,1,19819,5.046
150680,2016,2,284337,0.703
150680,2017,1,284337,0.352
150680,2019,2,284337,0.703
150740,2015,1,15313,6.53
150740,2024,1,15313,6.53
150746,2016,1,5296,18.882
150747,2015,1,20896,4.786
150780,2014,1,13107,7.63
150795,2011,1,78792,1.269
150810,2018,1,99734,1.003
160010,2015,2,8314,24.056
160030,2015,2,409019,0.489
160030,2017,1,409019,0.244
160030,2021,2,409019,0.489
160030,2022,3,409019,0.733
160030,2023,1,409019,0.244
160030,2024,1,409019,0.244
160040,2024,2,17150,11.662
160050,2021,10,20511,48.754
160053,2024,2,17107,11.691
160060,2018,1,104891,0.953
171610,2015,1,44896,2.227
171660,2018,1,10462,9.558
171820,2024,1,49766,2.009
171875,2019,1,6257,15.982
172100,2015,3,228579,1.312
172100,2018,2,228579,0.875
172210,2017,1,11658,8.578
210090,2015,1,43159,2.317
210355,2023,2,14447,13.844
210410,2015,1,12353,8.095
210590,2024,1,15622,6.401
210780,2018,2,33829,5.912
210780,2019,1,33829,2.956
210850,2019,1,31530,3.172
210960,2023,1,40044,2.497
211130,2017,1,1025127,0.098
211130,2019,1,1025127,0.098
211220,2018,1,155383,0.644
211250,2021,1,52893,1.891
220095,2014,6,2540,236.22
220160,2022,1,10399,9.616
220240,2019,1,11077,9.028
220350,2016,2,14831,13.485
220550,2018,2,37780,5.294
220620,2018,2,33073,6.047
220680,2017,2,8323,24.03
220750,2015,1,13959,7.164
220770,2023,1,148979,0.671
220790,2023,2,38481,5.197
220820,2018,1,17932,5.577
220830,2020,2,27926,7.162
220830,2021,1,27926,3.581
220880,2021,2,17912,11.166
220970,2022,2,6412,31.192
221100,2016,3,834939,0.359
221100,2017,1,834939,0.12
221100,2018,7,834939,0.838
221100,2019,6,834939,0.719
221100,2020,1,834939,0.12
221100,2021,6,834939,0.719
221100,2023,1,834939,0.12
221110,2018,2,43585,4.589
221110,2021,1,43585,2.294
230440,2019,4,2501612,0.16
230565,2021,1,11493,8.701
240325,2023,1,200371,0.499
240350,2022,1,10655,9.385
240810,2017,1,820571,0.122
240810,2022,3,820571,0.366
240810,2023,1,820571,0.122
250320,2018,1,58206,1.718
250400,2016,1,390802,0.256
260110,2018,1,79122,1.264
260190,2018,1,59563,1.679
260720,2020,1,80263,1.246
260960,2018,1,387209,0.258
261160,2015,1,1577109,0.063
270170,2021,5,17594,28.419
270190,2018,1,7367,13.574
270255,2020,1,17571,5.691
270430,2021,1,931872,0.107
270500,2021,4,25081,15.948
290070,2017,5,142542,3.508
290100,2024,1,34729,2.879
290200,2018,1,13958,7.164
290327,2017,1,14470,6.911
290360,2017,1,15799,6.33
290570,2017,5,239869,2.084
290650,2017,1,83331,1.2
290670,2017,1,26542,3.768
290750,2017,1,51876,1.928
290900,2017,2,8291,24.123
291030,2024,1,8031,12.452
291060,2017,1,33485,2.986
291080,2017,4,559646,0.715
291330,2017,1,6020,16.611
291450,2017,1,27383,3.652
291560,2017,1,64770,1.544
291610,2017,1,20942,4.775
291730,2017,1,27293,3.664
291735,2015,1,9386,10.654
291780,2024,1,16586,6.029
291845,2018,3,10535,28.477
291920,2016,1,162181,0.617
291920,2017,1,162181,0.617
291920,2018,1,162181,0.617
292100,2017,1,40546,2.466
292250,2020,1,27692,3.611
292300,2017,1,38859,2.573
292330,2017,1,8412,11.888
292400,2017,1,109209,0.916
292410,2017,1,6842,14.616
292430,2018,1,18299,5.465
292440,2018,1,33385,2.995
292450,2018,1,15882,6.296
292630,2017,2,32853,6.088
292640,2018,1,33591,2.977
292740,2014,1,2739882,0.036
292740,2017,20,2739882,0.73
292740,2018,2,2739882,0.073
292740,2020,1,2739882,0.036
292810,2018,1,40503,2.469
292810,2019,1,40503,2.469
292840,2017,1,26696,3.746
292880,2018,1,47799,2.092
292910,2017,1,20848,4.797
292930,2017,2,32797,6.098
292940,2017,1,11302,8.848
292980,2017,1,12626,7.92
293100,2018,1,20273,4.933
293135,2017,1,138668,0.721
293320,2017,1,37542,2.664
293330,2017,1,305977,0.327
310040,2018,4,3975,100.629
310060,2017,1,15797,6.33
310080,2018,2,4104,48.733
310110,2017,6,25331,23.686
310210,2018,4,12383,32.302
310220,2017,6,4517,132.832
310230,2018,7,15511,45.129
310230,2024,1,15511,6.447
310250,2018,1,5053,19.79
310260,2018,1,37696,2.653
310290,2018,2,11258,17.765
310340,2017,3,36831,8.145
310350,2015,3,111587,2.688
310350,2021,1,111587,0.896
310350,2022,1,111587,0.896
310350,2024,1,111587,0.896
310420,2018,1,37061,2.698
310445,2017,1,4832,20.695
310490,2018,3,18480,16.234
310540,2018,37,28557,129.565
310540,2019,1,28557,3.502
310560,2018,7,128404,5.452
310560,2024,1,128404,0.779
310570,2018,3,6277,47.794
310590,2018,1,19828,5.043
310610,2018,2,3462,57.77
310620,2010,1,2438514,0.041
310620,2011,1,2438514,0.041
310620,2015,1,2438514,0.041
310620,2016,2,2438514,0.082
310620,2017,12,2438514,0.492
310620,2018,62,2438514,2.543
310620,2019,2,2438514,0.082
310620,2020,2,2438514,0.082
310620,2021,7,2438514,0.287
310620,2022,3,2438514,0.123
310620,2023,4,2438514,0.164
310620,2024,5,2438514,0.205
310640,2018,4,7659,52.226
310670,2017,1,383371,0.261
310670,2018,2,383371,0.522
310670,2024,3,383371,0.783
310690,2018,4,13827,28.929
310770,2018,3,5540,54.152
310780,2017,17,15628,108.779
310810,2018,1,6953,14.382
310870,2018,1,4715,21.209
310890,2018,2,14892,13.43
310900,2017,5,34256,14.596
310900,2018,23,34256,67.142
310910,2019,1,11045,9.054
311000,2018,23,41457,55.479
311070,2018,1,12772,7.83
311120,2019,1,52329,1.911
311170,2017,2,4707,42.49
311200,2021,1,14793,6.76
311210,2017,1,5217,19.168
311290,2017,1,9137,10.945
311300,2017,3,22705,13.213
311310,2018,1,3332,30.012
311320,2018,2,23652,8.456
311330,2017,2,32857,6.087
311340,2017,73,86529,84.365
311390,2018,1,11971,8.354
311400,2018,1,11045,9.054
311430,2024,1,30364,3.293
311535,2018,2,4885,40.942
311600,2017,4,5703,70.139
311630,2018,3,6599,45.461
311680,2017,2,9186,21.772
311740,2017,3,4512,66.489
311760,2019,1,5229,19.124
311780,2018,7,10459,66.928
311800,2018,5,48988,10.207
311830,2018,14,118044,11.86
311830,2021,1,118044,0.847
311840,2016,1,22541,4.436
311850,2018,1,1752,57.078
311860,2015,1,615764,0.162
311860,2017,2,615764,0.325
311860,2018,12,615764,1.949
311860,2020,3,615764,0.487
311860,2024,1,615764,0.162
311940,2014,1,105631,0.947
311940,2015,1,105631,0.947
311940,2017,1,105631,0.947
311940,2018,1,105631,0.947
312083,2018,1,4693,21.308
312090,2019,2,74972,2.668
312090,2024,5,74972,6.669
312120,2016,1,6914,14.463
312160,2020,2,46673,4.285
312160,2024,1,46673,2.143
312170,2018,2,3901,51.269
312200,2017,1,19319,5.176
312230,2018,1,216210,0.463
312230,2021,1,216210,0.463
312230,2022,1,216210,0.463
312230,2023,1,216210,0.463
312320,2018,2,14003,14.283
312352,2017,5,7467,66.961
312385,2017,13,5272,246.586
312390,2018,1,14397,6.946
312400,2018,3,18176,16.505
312510,2020,1,28677,3.487
312540,2017,3,5257,57.067
312550,2015,1,3129,31.959
312590,2017,1,11037,9.06
312590,2018,3,11037,27.181
312595,2017,1,10470,9.551
312640,2017,1,2743,36.456
312675,2017,1,5896,16.961
312680,2016,1,5968,16.756
312680,2017,13,5968,217.828
312738,2018,2,3704,53.996
312770,2017,2,269152,0.743
312800,2021,1,31683,3.156
312820,2018,5,10382,48.16
312840,2018,1,8747,11.432
312840,2019,1,8747,11.432
312920,2018,1,6184,16.171
312980,2021,1,160954,0.621
313005,2021,2,10839,18.452
313055,2016,2,6499,30.774
313055,2017,21,6499,323.127
313090,2017,3,24685,12.153
313120,2017,29,18379,157.789
313130,2017,3,243934,1.23
313130,2021,1,243934,0.41
313170,2011,1,111805,0.894
313170,2018,16,111805,14.311
313190,2018,26,45802,56.766
313220,2018,2,12480,16.026
313230,2017,2,11934,16.759
313240,2018,1,92209,1.084
313270,2016,1,23173,4.315
313270,2017,24,23173,103.569
313270,2018,2,23173,8.631
313300,2019,1,14071,7.107
313320,2017,4,12068,33.146
313360,2018,1,8561,11.681
313360,2024,2,8561,23.362
313370,2018,2,10033,19.934
313380,2018,2,86579,2.31
313390,2018,7,5907,118.503
313410,2017,8,5906,135.455
313440,2024,1,34784,2.875
313490,2018,2,22858,8.75
313510,2023,1,67640,1.478
313540,2018,2,5515,36.265
313580,2017,1,24454,4.089
313620,2018,2,74519,2.684
313650,2021,1,10469,9.552
313655,2017,8,4412,181.324
313660,2018,1,5629,17.765
313670,2017,1,525359,0.19
313670,2018,74,525359,14.086
313670,2019,2,525359,0.381
313670,2024,1,525359,0.19
313700,2016,1,17253,5.796
313700,2017,100,17253,579.609
313720,2018,1,46352,2.157
313720,2023,1,46352,2.157
313740,2018,1,12384,8.075
313770,2017,17,19842,85.677
313780,2018,1,19753,5.063
313840,2018,1,52043,1.921
313840,2021,1,52043,1.921
313860,2018,10,16359,61.128
313920,2017,13,19093,68.088
313940,2016,1,80109,1.248
313940,2017,15,80109,18.724
313940,2023,1,80109,1.248
313950,2017,4,21602,18.517
313980,2018,1,11819,8.461
314000,2017,1,54828,1.824
314000,2018,92,54828,167.797
314000,2020,1,54828,1.824
314020,2018,2,2828,70.721
314053,2017,1,7188,13.912
314070,2018,3,27977,10.723
314080,2018,7,13589,51.512
314090,2017,1,17799,5.618
314110,2021,1,34481,2.9
314160,2018,2,10531,18.992
314180,2017,3,31383,9.559
314230,2018,2,4740,42.194
314310,2024,1,46506,2.15
314320,2023,2,21509,9.298
314330,2013,1,368595,0.271
314330,2018,1,368595,0.271
314330,2019,4,368595,1.085
314330,2022,4,368595,1.085
314330,2024,1,368595,0.271
314390,2018,1,102300,0.978
314390,2023,1,102300,0.978
314400,2017,9,27147,33.153
314430,2017,1,41700,2.398
314440,2018,2,4721,42.364
314460,2018,1,26231,3.812
314480,2017,3,81052,3.701
314480,2018,39,81052,48.117
314480,2020,2,81052,2.468
314520,2018,1,72136,1.386
314520,2021,1,72136,1.386
314530,2017,60,31420,190.961
314540,2017,1,2008,49.801
314540,2018,6,2008,298.805
314590,2018,16,35696,44.823
314610,2018,26,71476,36.376
314620,2017,2,6115,32.706
314630,2017,4,19062,20.984
314660,2018,4,1562,256.082
314710,2016,1,85169,1.174
314730,2017,1,19555,5.114
314730,2018,6,19555,30.683
314770,2018,3,8332,36.006
314790,2018,2,107896,1.854
314790,2023,1,107896,0.927
314810,2017,1,83378,1.199
314830,2018,2,9382,21.317
314860,2017,2,17542,11.401
314880,2018,1,3511,28.482
314930,2019,1,59595,1.678
314950,2018,3,3208,93.516
315010,2018,4,2891,138.36
315015,2016,2,7117,28.102
315015,2017,16,7117,224.814
315080,2018,17,17523,97.015
315120,2019,1,54176,1.846
315140,2010,1,25612,3.904
315150,2023,1,32258,3.1
315170,2018,1,16178,6.181
315190,2017,1,9138,10.943
315210,2018,9,58330,15.429
315210,2024,1,58330,1.714
315217,2015,1,11549,8.659
315230,2018,22,10549,208.551
315240,2017,39,15883,245.546
315250,2014,2,131487,1.521
315250,2018,1,131487,0.761
315250,2019,1,131487,0.761
315250,2023,1,131487,0.761
315310,2017,1,5624,17.781
315310,2018,10,5624,177.809
315390,2018,1,15532,6.438
315400,2017,1,24179,4.136
315415,2017,1,6620,15.106
315430,2017,2,17344,11.531
315440,2018,2,4676,42.772
315460,2012,1,300789,0.332
315460,2018,1,300789,0.332
315480,2018,29,9153,316.836
315520,2018,3,6202,48.371
315530,2018,1,5338,18.734
315540,2018,5,8818,56.702
315570,2018,2,14367,13.921
315580,2018,2,17297,11.563
315590,2018,6,5376,111.607
315600,2017,2,13952,14.335
315630,2018,1,6914,14.463
315670,2018,13,128811,10.092
315670,2021,2,128811,1.553
315720,2018,43,28465,151.063
315720,2023,1,28465,3.513
315725,2017,13,7748,167.785
315727,2018,5,2810,177.936
315780,2017,1,206324,0.485
315780,2018,8,206324,3.877
315780,2020,1,206324,0.485
315820,2017,5,14598,34.251
315820,2022,1,14598,6.85
315890,2017,2,8665,23.081
315895,2011,1,27560,3.628
315895,2017,1,27560,3.628
315910,2018,2,3872,51.653
315930,2018,3,5073,59.137
315930,2024,1,5073,19.712
315935,2017,4,6594,60.661
315950,2017,13,5782,224.836
315960,2018,1,38143,2.622
316000,2018,2,3596,55.617
316070,2018,6,47182,12.717
316100,2018,4,17660,22.65
316190,2018,7,9813,71.334
316200,2018,2,24129,8.289
316210,2024,1,32005,3.125
316280,2017,3,15775,19.017
316290,2018,1,25404,3.936
316295,2018,1,19771,5.058
316350,2017,2,6668,29.994
316360,2017,4,2593,154.261
316380,2018,1,6857,14.584
316410,2017,1,5673,17.627
316430,2017,2,6760,29.586
316440,2018,2,4957,40.347
316450,2016,1,10880,9.191
316450,2017,14,10880,128.676
316470,2023,2,65682,3.045
316520,2018,6,6714,89.366
316540,2018,3,6298,47.634
316553,2021,1,25650,3.899
316555,2017,41,11058,370.772
316600,2018,4,5782,69.18
316710,2023,1,21098,4.74
316760,2017,27,18439,146.429
316805,2016,1,3200,31.25
316805,2017,1,3200,31.25
316840,2014,1,14524,6.885
316840,2017,2,14524,13.77
316850,2018,3,11543,25.99
316860,2017,58,137395,42.214
316860,2019,2,137395,1.456
316860,2025,1,NA,NA
316870,2011,1,82305,1.215
316870,2023,2,82305,2.43
316870,2024,1,82305,1.215
316900,2018,2,15998,12.502
316900,2020,2,15998,12.502
316920,2023,1,9742,10.265
316930,2017,2,73670,2.715
316935,2023,1,28689,3.486
316940,2015,1,54700,1.828
316990,2018,1,102663,0.974
317000,2021,1,11810,8.467
317005,2016,1,12198,8.198
317005,2017,11,12198,90.179
317005,2019,2,12198,16.396
317010,2023,1,298748,0.335
317020,2019,1,610941,0.164
317020,2020,1,610941,0.164
317020,2023,5,610941,0.818
317057,2017,1,6551,15.265
317070,2017,1,124611,0.802
317070,2018,4,124611,3.21
317120,2018,2,104926,1.906
317130,2018,13,73196,17.761
320010,2017,16,32488,49.249
320016,2018,2,12214,16.375
320030,2017,14,14392,97.276
320030,2018,2,14392,13.897
320035,2017,1,7549,13.247
320040,2017,3,24401,12.295
320040,2018,1,24401,4.098
320060,2017,4,84213,4.75
320060,2023,1,84213,1.187
320080,2017,11,30241,36.374
320080,2018,7,30241,23.147
320100,2017,1,14557,6.87
320115,2017,15,12259,122.359
320120,2017,4,198503,2.015
320130,2017,32,364082,8.789
320140,2013,1,36107,2.77
320140,2017,12,36107,33.235
320150,2017,34,116066,29.294
320150,2018,1,116066,0.862
320160,2017,1,29624,3.376
320170,2016,1,11998,8.335
320170,2017,16,11998,133.356
320190,2017,43,33198,129.526
320230,2017,1,28897,3.461
320240,2017,2,109298,1.83
320245,2017,49,22847,214.47
320245,2018,2,22847,8.754
320250,2017,1,11484,8.708
320255,2017,2,9230,21.668
320265,2017,2,12009,16.654
320270,2017,8,14578,54.877
320290,2017,19,11229,169.205
320300,2017,6,28434,21.101
320313,2017,2,16222,12.329
320316,2017,17,11180,152.057
320320,2017,3,146073,2.054
320320,2018,2,146073,1.369
320320,2023,1,146073,0.685
320334,2017,34,14594,232.972
320335,2017,2,11658,17.156
320340,2017,2,27002,7.407
320370,2017,22,18990,115.85
320370,2019,1,18990,5.266
320380,2017,3,14788,20.287
320390,2018,13,47674,27.269
320400,2017,10,22036,45.38
320450,2017,75,12609,594.813
320455,2017,26,35278,73.7
320455,2018,1,35278,2.835
320460,2017,26,22451,115.808
320490,2014,1,113249,0.883
320490,2018,1,113249,0.883
320495,2017,8,11610,68.906
320500,2017,37,430648,8.592
320500,2018,3,430648,0.697
320500,2019,1,430648,0.232
320503,2017,7,19697,35.538
320506,2017,15,20816,72.06
320510,2017,10,67128,14.897
320510,2020,2,67128,2.979
320520,2017,8,429874,1.861
320530,2016,4,332907,1.202
320530,2017,30,332907,9.012
330010,2018,100,174090,57.442
330020,2017,1,113129,0.884
330020,2018,1,113129,0.884
330022,2018,2,11545,17.324
330030,2018,10,98067,10.197
330040,2018,1,184609,0.542
330040,2019,1,184609,0.542
330045,2018,4,498930,0.802
330050,2018,2,25788,7.756
330060,2017,4,36397,10.99
330070,2017,4,187344,2.135
330080,2017,1,55508,1.802
330080,2018,7,55508,12.611
330093,2017,1,13373,7.478
330100,2017,2,474001,0.422
330110,2017,2,20287,9.859
330110,2018,10,20287,49.293
330120,2018,3,17539,17.105
330130,2017,27,34845,77.486
330140,2017,2,21513,9.297
330160,2018,32,11139,287.279
330170,2017,2,894294,0.224
330180,2018,7,13365,52.376
330185,2017,2,52117,3.838
330185,2018,2,52117,3.838
330187,2017,2,22380,8.937
330190,2017,2,224582,0.891
330200,2018,1,116117,0.861
330205,2018,2,14282,14.004
330220,2017,2,98220,2.036
330225,2018,6,29331,20.456
330240,2017,17,207600,8.189
330245,2017,7,5372,130.305
330250,2018,1,235948,0.424
330260,2018,5,36810,13.583
330270,2017,10,124575,8.027
330270,2018,1,124575,0.803
330285,2017,1,175255,0.571
330285,2018,1,175255,0.571
330290,2018,16,24934,64.169
330330,2016,2,506465,0.395
330330,2017,16,506465,3.159
330330,2018,14,506465,2.764
330340,2017,10,188118,5.316
330340,2018,40,188118,21.263
330350,2011,2,816673,0.245
330350,2017,6,816673,0.735
330350,2018,8,816673,0.98
330380,2018,19,37643,50.474
330385,2018,3,26888,11.157
330390,2017,3,307369,0.976
330390,2018,2,307369,0.651
330395,2018,2,22928,8.723
330400,2018,4,26710,14.976
330410,2017,7,17663,39.631
330412,2018,2,12923,15.476
330420,2018,13,122300,10.63
330430,2018,2,56921,3.514
330440,2018,5,17793,28.101
330450,2018,11,8670,126.874
330450,2022,1,8670,11.534
330455,2015,1,6605732,0.015
330455,2017,64,6605732,0.969
330455,2018,74,6605732,1.12
330455,2019,1,6605732,0.015
330455,2020,1,6605732,0.015
330455,2022,1,6605732,0.015
330455,2023,1,6605732,0.015
330460,2017,4,10584,37.793
330480,2017,2,38585,5.183
330490,2016,1,1050020,0.095
330490,2017,6,1050020,0.571
330490,2018,8,1050020,0.762
330490,2019,1,1050020,0.095
330510,2018,3,477153,0.629
330515,2018,3,20392,14.712
330520,2017,2,88111,2.27
330520,2018,1,88111,1.135
330540,2018,5,18011,27.761
330560,2017,3,21813,13.753
330560,2018,3,21813,13.753
330570,2018,14,15118,92.605
330580,2018,57,168848,33.758
330590,2018,4,10501,38.092
330600,2018,2,78993,2.532
330610,2017,4,74155,5.394
330610,2018,94,74155,126.762
330620,2018,4,35468,11.278
330630,2018,6,268064,2.238
350010,2019,1,34761,2.877
350040,2017,1,7751,12.902
350050,2024,5,17596,28.416
350160,2017,4,215864,1.853
350160,2019,2,215864,0.927
350160,2021,1,215864,0.463
350170,2017,1,35443,2.821
350190,2017,6,67460,8.894
350190,2018,2,67460,2.965
350190,2024,2,67460,2.965
350210,2022,1,56745,1.762
350220,2017,1,22469,4.451
350270,2019,5,26182,19.097
350275,2017,1,16941,5.903
350290,2018,1,27668,3.614
350320,2017,7,213874,3.273
350390,2017,1,75915,1.317
350390,2018,13,75915,17.124
350410,2018,52,128497,40.468
350410,2019,2,128497,1.556
350540,2019,11,7946,138.434
350550,2018,1,114869,0.871
350570,2018,9,245385,3.668
350570,2019,1,245385,0.408
350590,2017,1,57800,1.73
350590,2019,2,57800,3.46
350590,2021,2,57800,3.46
350600,2021,1,352165,0.284
350600,2023,1,352165,0.284
350660,2018,1,29312,3.412
350660,2019,1,29312,3.412
350710,2018,6,19704,30.451
350760,2018,8,149028,5.368
350760,2021,1,149028,0.671
350780,2021,1,21208,4.715
350850,2018,8,86744,9.223
350860,2018,2,30877,6.477
350860,2019,2,30877,6.477
350900,2018,4,88569,4.516
350925,2018,1,29401,3.401
350925,2019,5,29401,17.006
350950,2017,14,1122869,1.247
350950,2018,4,1122869,0.356
350950,2019,17,1122869,1.514
350950,2020,4,1122869,0.356
350950,2022,1,1122869,0.089
350950,2023,2,1122869,0.178
350950,2024,1,1122869,0.089
350960,2017,1,75896,1.318
350960,2018,3,75896,3.953
350970,2018,2,49165,4.068
350990,2019,5,12529,39.907
351050,2018,1,102051,0.98
351060,2018,4,381422,1.049
351060,2019,1,381422,0.262
351060,2021,1,381422,0.262
351240,2021,1,21186,4.72
351280,2023,1,59903,1.669
351300,2017,2,202687,0.987
351300,2018,29,202687,14.308
351300,2019,2,202687,0.987
351300,2020,1,202687,0.493
351300,2024,1,202687,0.493
351310,2019,1,32558,3.071
351360,2018,3,22335,13.432
351380,2017,5,398964,1.253
351380,2018,11,398964,2.757
351400,2019,1,8048,12.425
351480,2018,2,14990,13.342
351480,2019,20,14990,133.422
351500,2018,3,248565,1.207
351510,2018,8,64329,12.436
351515,2018,2,15567,12.848
351518,2016,1,43317,2.309
351518,2018,11,43317,25.394
351570,2018,1,173422,0.577
351620,2019,2,326156,0.613
351630,2018,8,159014,5.031
351640,2017,1,134615,0.743
351640,2018,12,134615,8.914
351640,2020,1,134615,0.743
351740,2019,1,38397,2.604
351830,2018,2,26291,7.607
351830,2021,1,26291,3.804
351870,2018,3,300402,0.999
351870,2019,1,300402,0.333
351870,2023,1,300402,0.333
351870,2024,2,300402,0.666
351880,2016,2,1269057,0.158
351880,2017,2,1269057,0.158
351880,2018,110,1269057,8.668
351880,2019,5,1269057,0.394
351880,2021,2,1269057,0.158
351880,2022,1,1269057,0.079
351907,2019,1,196009,0.51
351907,2021,1,196009,0.51
351970,2018,12,72964,16.446
352020,2018,3,8942,33.55
352030,2018,3,29772,10.077
352030,2019,3,29772,10.077
352044,2021,1,25866,3.866
352050,2018,1,203742,0.491
352050,2020,1,203742,0.491
352050,2024,2,203742,0.982
352100,2018,3,28326,10.591
352120,2019,21,4406,476.623
352190,2021,1,14662,6.82
352210,2018,3,88270,3.399
352210,2019,2,88270,2.266
352220,2017,2,157712,1.268
352220,2018,11,157712,6.975
352220,2019,1,157712,0.634
352230,2019,1,147894,0.676
352250,2017,5,205552,2.432
352250,2018,2,205552,0.973
352260,2018,2,70114,2.852
352310,2017,1,328762,0.304
352310,2018,9,328762,2.738
352330,2018,5,15734,31.778
352330,2019,2,15734,12.711
352340,2017,5,102914,4.858
352390,2017,1,158684,0.63
352390,2018,3,158684,1.891
352390,2019,2,158684,1.26
352400,2018,4,44435,9.002
352410,2019,1,39872,2.508
352440,2018,4,217242,1.841
352460,2017,3,17631,17.015
352460,2018,3,17631,17.015
352460,2019,6,17631,34.031
352500,2018,1,111186,0.899
352500,2019,2,111186,1.799
352520,2017,2,23575,8.484
352520,2018,16,23575,67.869
352520,2024,1,23575,4.242
352550,2018,1,11928,8.384
352590,2017,3,376159,0.798
352590,2018,5,376159,1.329
352610,2018,2,19833,10.084
352610,2021,1,19833,5.042
352620,2018,9,29625,30.38
352620,2019,1,29625,3.376
352630,2019,1,4958,20.169
352690,2019,3,283543,1.058
352690,2024,1,283543,0.353
352700,2018,2,6778,29.507
352730,2020,1,36919,2.709
352780,2021,1,4441,22.517
352850,2017,11,81706,13.463
352850,2018,111,81706,135.853
352900,2017,1,222887,0.449
352900,2021,3,222887,1.346
352940,2018,4,429247,0.932
352940,2020,1,429247,0.233
352990,2018,4,21220,18.85
353050,2017,1,68253,1.465
353050,2020,1,68253,1.465
353050,2023,2,68253,2.93
353060,2018,6,394917,1.519
353060,2019,1,394917,0.253
353070,2017,1,140436,0.712
353070,2018,2,140436,1.424
353070,2019,9,140436,6.409
353070,2024,1,140436,0.712
353080,2018,2,88969,2.248
353080,2019,1,88969,1.124
353080,2021,1,88969,1.124
353120,2017,2,7235,27.643
353120,2025,2,NA,NA
353170,2018,10,4185,238.949
353200,2018,2,11857,16.868
353230,2018,4,6829,58.574
353240,2018,6,16577,36.195
353410,2021,1,6234,16.041
353430,2019,2,41014,4.876
353440,2017,2,690640,0.29
353440,2018,6,690640,0.869
